index,Date,Country,Status,AQI,timeStamp,countryCode
97,2022-07-21,New Zealand,Good,24.0,1658386800.0,97
98,2022-07-21,Nigeria,Unhealthy for Sensitive Groups,105.0,1658386800.0,98
99,2022-07-21,Norway,Moderate,70.0,1658386800.0,99
100,2022-07-21,Pakistan,Moderate,91.0,1658386800.0,100
101,2022-07-21,Palestinian Territory,Moderate,66.5,1658386800.0,101
102,2022-07-21,Peru,Moderate,85.0,1658386800.0,102
103,2022-07-21,Philippines,Moderate,83.0,1658386800.0,103
104,2022-07-21,Poland,Moderate,71.5,1658386800.0,104
105,2022-07-21,Portugal,Good,24.0,1658386800.0,105
106,2022-07-21,Puerto Rico,Good,7.0,1658386800.0,106
107,2022-07-21,Qatar,Unhealthy,183.0,1658386800.0,107
108,2022-07-21,Reunion,Good,19.0,1658386800.0,108
109,2022-07-21,Romania,Moderate,64.5,1658386800.0,109
110,2022-07-21,Russia,Moderate,74.5,1658386800.0,110
111,2022-07-21,San Marino,Moderate,50.0,1658386800.0,111
112,2022-07-21,Saudi Arabia,Very Unhealthy,272.0,1658386800.0,112
113,2022-07-21,Senegal,Good,33.0,1658386800.0,113
114,2022-07-21,Serbia,Moderate,60.0,1658386800.0,114
115,2022-07-21,Singapore,Good,25.0,1658386800.0,115
116,2022-07-21,Slovakia,Moderate,62.5,1658386800.0,116
117,2022-07-21,Slovenia,Good,49.5,1658386800.0,117
118,2022-07-21,South Africa,Moderate,83.0,1658386800.0,118
119,2022-07-21,South Korea,Moderate,77.5,1658386800.0,119
120,2022-07-21,Spain,Moderate,82.0,1658386800.0,120
121,2022-07-21,Sri Lanka,Good,43.5,1658386800.0,121
122,2022-07-21,Sudan,Unhealthy for Sensitive Groups,114.0,1658386800.0,122
123,2022-07-21,Sweden,Good,39.5,1658386800.0,123
124,2022-07-21,Switzerland,Good,31.5,1658386800.0,124
125,2022-07-21,Taiwan,Moderate,61.0,1658386800.0,125
126,2022-07-21,Tajikistan,Moderate,73.0,1658386800.0,126
127,2022-07-21,Thailand,Moderate,88.0,1658386800.0,127
128,2022-07-21,Togo,Unhealthy for Sensitive Groups,134.0,1658386800.0,128
129,2022-07-21,Trinidad and Tobago,Good,19.0,1658386800.0,129
130,2022-07-21,Turkey,Moderate,88.5,1658386800.0,130
131,2022-07-21,Turkmenistan,Moderate,85.0,1658386800.0,131
132,2022-07-21,Uganda,Unhealthy,193.5,1658386800.0,132
133,2022-07-21,Ukraine,Good,31.5,1658386800.0,133
