index,Date,Country,Status,AQI
133,2022-07-21,Ukraine,Good,31.5
134,2022-07-21,United Arab Emirates,Moderate,91.0
135,2022-07-21,United Kingdom of Great Britain and Northern Ireland,Moderate,55.0
136,2022-07-21,United States of America,Unhealthy for Sensitive Groups,111.5
137,2022-07-21,Uzbekistan,Moderate,59.0
138,2022-07-21,Vatican,Moderate,70.0
139,2022-07-21,Venezuela,Good,2.5
140,2022-07-21,Vietnam,Good,42.0
141,2022-07-21,Zambia,Good,46.5
142,2022-07-22,Albania,Good,16.666666666666668
143,2022-07-22,Algeria,Moderate,65.0
144,2022-07-22,Andorra,Good,46.666666666666664
145,2022-07-22,Angola,Unhealthy for Sensitive Groups,123.33333333333333
146,2022-07-22,Argentina,Moderate,57.333333333333336
147,2022-07-22,Armenia,Moderate,52.666666666666664
148,2022-07-22,Australia,Moderate,51.0
149,2022-07-22,Austria,Good,47.666666666666664
150,2022-07-22,Azerbaijan,Good,20.333333333333332
151,2022-07-22,Bahrain,Unhealthy,156.33333333333334
152,2022-07-22,Bangladesh,Unhealthy for Sensitive Groups,141.0
153,2022-07-22,Belarus,Good,35.666666666666664
154,2022-07-22,Belgium,Good,41.0
155,2022-07-22,Belize,Good,15.666666666666666
156,2022-07-22,Bermuda,Good,17.0
157,2022-07-22,Bolivia,Moderate,50.666666666666664
158,2022-07-22,Bosnia and Herzegovina,Moderate,71.33333333333333
159,2022-07-22,Brazil,Moderate,97.33333333333333
160,2022-07-22,Brunei,Good,15.333333333333334
161,2022-07-22,Bulgaria,Good,35.333333333333336
162,2022-07-22,Burkina Faso,Unhealthy for Sensitive Groups,114.0
163,2022-07-22,Cambodia,Good,15.0
164,2022-07-22,Canada,Moderate,63.666666666666664
165,2022-07-22,Cape Verde,Moderate,53.666666666666664
166,2022-07-22,Cayman Islands,Good,7.666666666666667
167,2022-07-22,Central African Republic,Unhealthy for Sensitive Groups,117.0
168,2022-07-22,Chad,Unhealthy for Sensitive Groups,109.33333333333333
169,2022-07-22,Chile,Unhealthy for Sensitive Groups,138.0
170,2022-07-22,China,Unhealthy,160.66666666666666
171,2022-07-22,Colombia,Moderate,67.33333333333333
172,2022-07-22,Costa Rica,Good,36.666666666666664
173,2022-07-22,Croatia,Moderate,52.0
174,2022-07-22,Cyprus,Moderate,50.333333333333336
175,2022-07-22,Czech Republic,Moderate,85.66666666666667
176,2022-07-22,Denmark,Good,19.0
177,2022-07-22,Dominican Republic,Good,21.0
178,2022-07-22,Ecuador,Moderate,56.333333333333336
179,2022-07-22,Egypt,Moderate,86.0
180,2022-07-22,El Salvador,Moderate,82.0
181,2022-07-22,Estonia,Good,27.666666666666668
182,2022-07-22,Ethiopia,Unhealthy for Sensitive Groups,135.66666666666666
183,2022-07-22,Finland,Good,49.333333333333336
184,2022-07-22,France,Moderate,67.33333333333333
185,2022-07-22,French Guiana,Good,12.0
186,2022-07-22,Gabon,Unhealthy for Sensitive Groups,125.66666666666667
187,2022-07-22,Gambia,Good,25.666666666666668
188,2022-07-22,Georgia,Good,36.333333333333336
189,2022-07-22,Germany,Moderate,61.666666666666664
190,2022-07-22,Ghana,Unhealthy for Sensitive Groups,103.0
191,2022-07-22,Gibraltar,Good,42.666666666666664
192,2022-07-22,Greece,Moderate,50.333333333333336
193,2022-07-22,Grenada,Moderate,60.0
194,2022-07-22,Guadeloupe,Good,25.666666666666668
195,2022-07-22,Guam,Good,1.3333333333333333
196,2022-07-22,Guatemala,Good,36.666666666666664
197,2022-07-22,Honduras,Good,19.0
198,2022-07-22,Hong Kong,Good,38.666666666666664
199,2022-07-22,Hungary,Moderate,54.666666666666664
200,2022-07-22,Iceland,Good,12.333333333333334
201,2022-07-22,India,Unhealthy,179.66666666666666
202,2022-07-22,Indonesia,Moderate,93.0
203,2022-07-22,Iran,Unhealthy,158.0
204,2022-07-22,Iraq,Unhealthy,191.0
205,2022-07-22,Ireland,Good,20.666666666666668
206,2022-07-22,Israel,Moderate,98.33333333333333
207,2022-07-22,Italy,Unhealthy for Sensitive Groups,107.66666666666667
208,2022-07-22,Ivory Coast,Good,47.0
209,2022-07-22,Japan,Moderate,76.66666666666667
210,2022-07-22,Jersey,Good,29.666666666666668
211,2022-07-22,Jordan,Good,22.0
212,2022-07-22,Kazakhstan,Moderate,73.0
213,2022-07-22,Kenya,Moderate,51.0
214,2022-07-22,Kosovo,Good,49.333333333333336
215,2022-07-22,Kuwait,Unhealthy,165.33333333333334
216,2022-07-22,Kyrgyzstan,Good,40.333333333333336
217,2022-07-22,Laos,Good,40.666666666666664
218,2022-07-22,Latvia,Good,37.333333333333336
219,2022-07-22,Lebanon,Moderate,76.0
220,2022-07-22,Liberia,Good,37.0
221,2022-07-22,Liechtenstein,Good,28.666666666666668
222,2022-07-22,Lithuania,Good,45.333333333333336
223,2022-07-22,Luxembourg,Good,48.0
224,2022-07-22,Macao,Good,45.0
225,2022-07-22,Macedonia,Moderate,58.666666666666664
226,2022-07-22,Madagascar,Good,32.333333333333336
227,2022-07-22,Malaysia,Moderate,68.66666666666667
228,2022-07-22,Malta,Moderate,59.666666666666664
229,2022-07-22,Martinique,Moderate,51.0
230,2022-07-22,Mexico,Moderate,99.66666666666667
231,2022-07-22,Moldova,Good,11.0
232,2022-07-22,Monaco,Good,43.0
233,2022-07-22,Mongolia,Good,39.666666666666664
234,2022-07-22,Montenegro,Good,46.333333333333336
235,2022-07-22,Myanmar,Good,19.666666666666668
236,2022-07-22,Nepal,Good,44.0
237,2022-07-22,Netherlands,Good,30.666666666666668
238,2022-07-22,New Caledonia,Good,6.666666666666667
239,2022-07-22,New Zealand,Good,33.666666666666664
240,2022-07-22,Nigeria,Unhealthy for Sensitive Groups,105.0
241,2022-07-22,Norway,Good,39.666666666666664
242,2022-07-22,Pakistan,Moderate,91.0
243,2022-07-22,Palestinian Territory,Moderate,68.0
244,2022-07-22,Peru,Moderate,96.66666666666667
245,2022-07-22,Philippines,Moderate,83.0
246,2022-07-22,Poland,Moderate,73.66666666666667
247,2022-07-22,Portugal,Good,30.333333333333332
248,2022-07-22,Puerto Rico,Good,15.0
249,2022-07-22,Qatar,Unhealthy,183.0
250,2022-07-22,Reunion,Good,23.333333333333332
251,2022-07-22,Romania,Moderate,59.666666666666664
252,2022-07-22,Russia,Moderate,87.66666666666667
253,2022-07-22,San Marino,Moderate,56.333333333333336
254,2022-07-22,Senegal,Good,33.0
255,2022-07-22,Serbia,Moderate,69.0
256,2022-07-22,Singapore,Good,48.0
257,2022-07-22,Slovakia,Moderate,63.0
258,2022-07-22,Slovenia,Moderate,71.66666666666667
259,2022-07-22,South Africa,Moderate,83.0
260,2022-07-22,South Korea,Moderate,93.0
261,2022-07-22,Spain,Moderate,82.0
262,2022-07-22,Sri Lanka,Good,48.0
263,2022-07-22,Sudan,Moderate,94.0
